,Value
address1,Unilever House
address2,B. D. Sawant Marg Chakala Andheri (East)
city,Mumbai
zip,400099
country,India
phone,91 22 5043 3000
fax,91 22 2824 9457
website,https://www.hul.co.in
industry,Household & Personal Products
industryKey,household-personal-products
industryDisp,Household & Personal Products
sector,Consumer Defensive
sectorKey,consumer-defensive
sectorDisp,Consumer Defensive
longBusinessSummary,"Hindustan Unilever Limited, a fast-moving consumer good company, manufactures and sells food, home care, personal care, and refreshment products in India and internationally. The company operates through Home Care, Beauty & Personal Care, Foods & Refreshment, and Others segments. The Home Care segment engages in detergent bars and powders, detergent liquids, scourers, water business, purifiers business, etc. The Beauty & Personal Care segment provides oral, skin, and hair care products; and soaps, deodorants, talcum powder, color cosmetics, salon services, etc. The Foods & Refreshment segment provides culinary products, including tomato-based products, fruit-based products, soups, etc.; and tea, coffee, nutrition drinks, ice-cream, and frozen desserts. The Others segment engages in activities, such as export, consignment, etc. The company is also involved in the job work, real estate, and discharge trust businesses. The company was founded in 1888 and is headquartered in Mumbai, India."
fullTimeEmployees,19427
